id;description;details;done
1;Officer payment Afghani;Alaska Cotton;false
2;Handcrafted Metal Chicken Tools yellow;Brazil channels;false
3;Rupiah architectures;bandwidth Chicken impactful;false
4;whiteboard;solid state Tasty Metal Towels;true
5;Home Loan Account;synthesize budgetary management;false
6;deposit port Central African Republic;Cambridgeshire Chile;true
7;Metal;Buckinghamshire invoice Profit-focused;true
8;Fresh Peru;Directives;false
9;Analyst;leverage;false
10;proactive;parsing mobile Incredible Concrete Bike;false
